business_name,categories,address,latitude,longitude
Dorothy Chandler Pavilion,"Music Venue, Theater, Restaurant","135 N Grand Ave (at 1st St.), Los Angeles, CA 90012",34.056535,-118.24881
La Opera League,"Music Venue, Opera House","135 N Grand Ave (1st Street), Los Angeles, CA 90012",34.057474,-118.248049
Walt Disney Concert Hall,"Concert Hall, Music Venue, Restaurant","111 S Grand Ave (btwn 1st & 2nd St), Los Angeles, CA 90012",34.05545,-118.24987
Walt Disney Concert Hall Box Office,Arts and Entertainment,"111 S Grand Ave (1st), Los Angeles, CA 90012",34.055403,-118.249284
Crepes De Paris,Dining and Drinking,"123 S Figueroa St, Los Angeles, CA 90012",34.057311,-118.252857
Grand Park,Playground,"200 N Grand Ave (btwn Temple & 1st St), Los Angeles, CA 90012",34.056156,-118.247034
Ramón C. Cortines School of Visual and Performing Arts,High School,"450 N Grand Ave, Los Angeles, CA 90012",34.059088,-118.243337
Mexicali Taco & Co,Taco Restaurant,"702 N Figueroa St (at Bartlett St), Los Angeles, CA 90012",34.063478,-118.245541
Vista Hermosa Natural Park,"Picnic Area, Playground","100 N Toluca St (1st St), Los Angeles, CA 90026",34.061973,-118.257967
Starbucks,Coffee Shop,"639 N Broadway (W.Cesar Chavez Ave), Los Angeles, CA 90012",34.058883,-118.240432
Eastside Market,"Deli, Italian Restaurant, Sandwich Spot","1013 Alpine St (at Figueroa Ter.), Los Angeles, CA 90012",34.065202,-118.246564
LA Plaza de Cultura y Artes,Art Museum,"501 N Main St (Arcadia St), Los Angeles, CA 90012",34.0565,-118.239893
Redbird,"Cocktail Bar, New American Restaurant","114 E 2nd St, Los Angeles, CA 90012",34.050542,-118.244029
Thien Hau Temple,Buddhist Temple,"750 Yale St (at Alpine St.), Los Angeles, CA 90012",34.062559,-118.240712
3rd Street Tunnel,Hiking Trail,"Los Angeles, CA 90012",34.056065,-118.255664
Nossa Familia Coffee,Coffee Shop,"601 W 5th St, Los Angeles, CA 90071",34.050783,-118.253868
Placita Olvera,"Asian Restaurant, Fast Food Restaurant, Mexican Restaurant","421 E Commercial St, Los Angeles, CA 90012",34.056859,-118.238272
Endorffeine,Coffee Shop,"727 N Broadway, Los Angeles, CA 90012",34.061282,-118.239486
Howlin' Ray's,"Fried Chicken Joint, American Restaurant, Fast Food Restaurant","727 N Broadway (btwn Alpine & Ord St), Los Angeles, CA 90012",34.061282,-118.239486
The Shakespeare Center of Los Angeles,"Concert Hall, Music Venue, Theater","1238 W 1st St, Los Angeles, CA 90026",34.060411,-118.25716
Batavia,Café,"633 W 5th St (Grand Avenue), Los Angeles, CA 90071",34.050998,-118.254509
El Pueblo de Los Angeles Historic Monument,Monument,"125 Paseo De La Plz (btwn Main & Los Angeles St), Los Angeles, CA 90012",34.05686,-118.23968
Los Angeles Plaza Park,Park,"125 Paseo De La Plz, Los Angeles, CA 90012",34.056538,-118.238762
Olde Good Things,Antique Store,"1800 S Grand Ave, Los Angeles, CA 90015",34.033888,-118.267279
Just Ride L.A.,Bicycle Store,"1626 S Hill St (at W 17th St.), Los Angeles, CA 90015",34.034074,-118.264807
The Reef A Creative Habitat,Community Center,"1933 S Broadway, Los Angeles, CA 90007",34.031208,-118.266522
Downtown L. A. Motors,Car Dealership,"1801 S Figueroa St (at 18th St.), Los Angeles, CA 90015",34.035293,-118.271691
Ashley Furniture HomeStore,Furniture and Home Store,"1810 S Broadway, Los Angeles, CA 90015",34.031833,-118.265048
Deja Vu Showgirls,Night Club,"1800 S Main St (E 18th St.), Los Angeles, CA 90015",34.031913,-118.263705
Handbag Factory,"Music Venue, Theater","1336 S Grand Ave, Los Angeles, CA 90015",34.037833,-118.264664
Jack In The Box,Fast Food Restaurant,"1615 S Broadway, Los Angeles, CA 90015",34.034067,-118.264028
Cow Cafe,"Café, Mediterranean Restaurant, Seafood Restaurant","342 W Pico Blvd (Grand), Los Angeles, CA 90015",34.03856,-118.264183
Central Kitchen,"Burger Joint, Pizzeria, American Restaurant","325 W Adams Blvd, Los Angeles, CA 90007",34.027092,-118.273165
First Draft,Beer Bar,"1230 S Olive St (Pico Blvd), Los Angeles, CA 90015",34.038333,-118.262905
Jacks N Joe,Fast Food Restaurant,"2498 S Figueroa St (at Adams Blvd.), Los Angeles, CA 90007",34.028746,-118.275247
Go Dog LA,"Pet Sitting and Boarding Service, Pet Supplies Store","1728 Maple Ave (18th Street), Los Angeles, CA 90015",34.030157,-118.260631
Dirt Dog,"Hot Dog Joint, Fast Food Restaurant, New American Restaurant","2528 S Figueroa St, Los Angeles, CA 90007",34.028376,-118.275169
Kbm Embroidery,Textiles Store,"1624 S Main St, Los Angeles, CA 90015",34.032924,-118.262805
Popeye's Louisiana Kitchen,"Fast Food Restaurant, Wings Joint","2532 S Figueroa St (at W Adams Blvd.), Los Angeles, CA 90007",34.028258,-118.275662
Robeks Fresh Juices & Smoothies,Juice Bar,"419 W Pico Blvd, Los Angeles, CA 90015",34.03932,-118.264692
El Pollo Loco,Fast Food Restaurant,"408 E Washington Blvd, Los Angeles, CA 90015",34.029223,-118.26125
The Quest Factory Escape Rooms,Escape Room,"1818 Oak St, Los Angeles, CA 90015",34.037138,-118.277101
Five Guys Burgers & Fries,"Burger Joint, American Restaurant, Fast Food Restaurant","530 W 27th St, Los Angeles, CA 90007",34.026891,-118.276061
Noell,"Clothing Store, Women's Store","1326 Santee St (at Pico Blvd), Los Angeles, CA 90015",34.034457,-118.258518
Green Dot LA 24 Hrs,Cannabis Store,"1431 S Los Angeles St, Los Angeles, CA 90015",34.0341,-118.261058
Pine & Crane DTLA,Taiwanese Restaurant,"1120 S Grand Ave, Los Angeles, CA 90015",34.040474,-118.262591
Rite Aid,Drugstore,"446 E Washington Blvd (at Maple Ave), Los Angeles, CA 90015",34.028332,-118.260597
Panda Express,"Chinese Restaurant, Fast Food Restaurant","524 E Washington Blvd, Los Angeles, CA 90015",34.028153,-118.259887
United States Postal Service,Post Office,"819 W Washington Blvd (at Norwood St.), Los Angeles, CA 90015",34.036725,-118.276316
Groman Mortuaries,Funeral Home,"830 W Washington Blvd (Norwood Street), Los Angeles, CA 90015",34.036143,-118.276517
Giroux Glass,Doors and Windows Contractor,"850 W Washington Blvd (Norwood St), Los Angeles, CA 90015",34.03629,-118.277156
South LA,,"Park Grove Ave (23rd St.), Los Angeles, CA 90007",34.033652,-118.278168
100 Percent Fabric,Textiles Store,"600 E Washington Blvd, Los Angeles, CA 90015",34.028177,-118.25918
Lanterman Frank D High School,Elementary School,"2328 St James Pl, Los Angeles, CA 90007",34.032213,-118.278707
Gem and Mineral Hall,History Museum,"1933 S Broadway (900 Exposition Blvd.), Los Angeles, CA 90007",34.031203,-118.266663
King Taco Restaurant,"Fast Food Restaurant, Taco Restaurant","1951 S San Pedro St (at Washington Blvd.), Los Angeles, CA 90011",34.026303,-118.258579
Little Caesars Pizza,"Pizzeria, Fast Food Restaurant","1900 S San Pedro St, Los Angeles, CA 90011",34.027158,-118.257322
The Moroccan Lounge,"Music Venue, Lounge, Restaurant","901 E 1st St, Los Angeles, CA 90012",34.048796,-118.233667
Sushi Gen,Sushi Restaurant,"422 E 2nd St (btw Central & Alameda St.), Los Angeles, CA 90012",34.046975,-118.238515
Tea Master Matcha Cafe & Green Tea Shop - Little Tokyo,"Café, Ice Cream Parlor, Restaurant","420 E 2nd St, Los Angeles, CA 90012",34.04683,-118.238796
Boomtown Brewery,"Bar, Brewery, Restaurant","700 Jackson St (at Vignes St), Los Angeles, CA 90012",34.050812,-118.233067
Shin-Sen-Gumi,"Japanese Curry Restaurant, Ramen Restaurant","132 S Central Ave (btwn E 1st & E 2nd St), Los Angeles, CA 90012",34.048312,-118.238964
Wolf & Crane,"Beer Bar, Cocktail Bar, Whisky Bar","366 E 2nd St (Central Ave), Los Angeles, CA 90012",34.047909,-118.239877
Spitz,"Beer Bar, Mediterranean Restaurant","371 E 2nd St (at Central Ave), Los Angeles, CA 90012",34.048284,-118.239813
Izakaya Gazen,Sushi Restaurant,"362 E 1st St (Central Ave), Los Angeles, CA 90012",34.049042,-118.239402
Self Help Graphics & Art,Art Gallery,"1300 E 1st St, Los Angeles, CA 90033",34.047382,-118.226494
Purgatory Pizza,Pizzeria,"1326 E 1st St (btwn S Utah & S Anderson St), Los Angeles, CA 90033",34.047405,-118.225787
The Geffen Contemporary at MOCA,Art Museum,"152 N Central Ave (at 1st St), Los Angeles, CA 90012",34.05044,-118.23853
Japanese Village Plaza,Shopping Mall,"335 E 2nd St (at Central Ave), Los Angeles, CA 90012",34.048831,-118.240655
RAKKAN Ramen,Ramen Restaurant,"359 E 1st St (Central), Los Angeles, CA 90012",34.049515,-118.239411
Far Bar,"Cocktail Bar, Gastropub, Sushi Restaurant","347 E 1st St (at Central Ave), Los Angeles, CA 90012",34.049749,-118.239486
Café Dulcé,"Bakery, Café, Sandwich Spot","134 Japanese Village Plaza Mall, Los Angeles, CA 90012",34.048738,-118.240387
SomiSomi,"Ice Cream Parlor, Korean Restaurant","332 E 2nd St, Los Angeles, CA 90012",34.048646,-118.241093
Marugame Monzo,Udon Restaurant,"329 E 1st St (btwn San Pedro & Central Ave), Los Angeles, CA 90012",34.050037,-118.239987
Fugetsu-Do,"Bakery, Candy Store","315 E 1st St (btw San Pedro & Central), Los Angeles, CA 90012",34.050297,-118.240274
Little Tokyo Mall,Japanese Restaurant,"319 E 2nd St, Los Angeles, CA 90012",34.049332,-118.240823
The Escondite,"Cocktail Bar, Burger Joint","410 Boyd St (at San Pedro St), Los Angeles, CA 90013",34.046039,-118.242177
Los Angeles Gun Club,Gun Range,"1375 E 6th St (East 6th Street), Los Angeles, CA 90021",34.038834,-118.234191
Smoke Tokes,Tobacco Store,"309 S San Pedro St, Los Angeles, CA 90013",34.04706,-118.242974
Kouraku,Ramen Restaurant,"314 E 2nd St (S. San Pedro Street), Los Angeles, CA 90012",34.048907,-118.241381
Kinokuniya Bookstore,Bookstore,"123 Astronaut E S Onizuka St (upstairs at Weller Court Plaza), Los Angeles, CA 90012",34.050285,-118.242117
Marukai,Department Store,"123 Astronaut E S Onizuka St (E 1st St), Los Angeles, CA 90012",34.050303,-118.242114
Transformers Bridge,Bridge,"Los Angeles, CA 90033",34.053336,-118.228443
Santee Alley,Retail,"Santee St (at E 12th St), Los Angeles, CA 90079",34.037699,-118.255678
Cognoscenti Coffee Roasters,"Coffee Shop, Restaurant","1118 San Julian St, Los Angeles, CA 90015",34.035343,-118.25337
Rossoblu,Italian Restaurant,"1124 San Julian St (12th St.), Los Angeles, CA 90015",34.034964,-118.253576
Cara Cara,"Dining and Drinking, Bar","1100 S Broadway, Los Angeles, CA 90015",34.039315,-118.258891
Cabra LA,Peruvian Restaurant,"1060 S Broadway, Los Angeles, CA 90015",34.039737,-118.258537
Dune,"Falafel Restaurant, Mediterranean Restaurant, Sandwich Spot","199 W Olympic Blvd, Los Angeles, CA 90015",34.040969,-118.257012
Verve Coffee Roasters,Coffee Shop,"833 S Spring St (at W 9th St), Los Angeles, CA 90014",34.04247,-118.254634
Sonoratown,"Fast Food Restaurant, Latin American Restaurant, Taco Restaurant","208 E 8th St (Los Angeles St), Los Angeles, CA 90014",34.041637,-118.252284
Upstairs Rooftop Lounge at Ace Hotel,"Arts and Entertainment, Bar","933 S Broadway (at 9th St), Los Angeles, CA 90015",34.041712,-118.257025
The Theatre at Ace Hotel,"Movie Theater, Lounge, American Restaurant","929 S Broadway, Los Angeles, CA 90015",34.041712,-118.257025
Tacos Mexico,Mexican Restaurant,"913 S Broadway (btw Olympic & 9th), Los Angeles, CA 90015",34.042205,-118.256469
Los Angeles Flower Market,Flower Store,"766 Wall St (at 7th St), Los Angeles, CA 90014",34.040538,-118.249788
Poppy + Rose,"Diner, American Restaurant","765 Wall St, Los Angeles, CA 90014",34.0407,-118.250003
Chipotle Mexican Grill,"Fast Food Restaurant, Mexican Restaurant","301 W Olympic Blvd, Los Angeles, CA 90015",34.041971,-118.258374
Birdies,"Coffee Shop, Fried Chicken Joint, American Restaurant","314 W Olympic Blvd, Los Angeles, CA 90015",34.041681,-118.258935
Mariscos Jalisco,Food Truck,"E 10TH St (at Towne Ave), Los Angeles, CA 90021",34.034197,-118.249246
Premiere Fixtures,Home Improvement Service,"430 E Pico Blvd, Los Angeles, CA 90015",34.033822,-118.256313
Moskatels,Arts and Crafts Store,"733 San Julian St, Los Angeles, CA 90014",34.040654,-118.248375
Raw Materials Art Supplies,Arts and Crafts Store,"645 S Los Angeles St (7th & Los Angeles), Los Angeles, CA 90014",34.043768,-118.250272
Fasion District meter Rooms,Clothing Store,"727 E Pico Blvd, Los Angeles, CA 90021",34.032612,-118.253108
Paris Baguette,"Bakery, Cafe, Coffee, and Tea House, Restaurant","404 W 8th St (Hill Street), Los Angeles, CA 90014",34.044544,-118.2563
LA Face Mart,Shopping Plaza,"1458 S San Pedro St (14th Place), Los Angeles, CA 90015",34.030504,-118.254413
Prank,Cocktail Bar,"1100 S Hope St (at W 11th St), Los Angeles, CA 90015",34.041879,-118.263042
Uncle John's Cafe,"Cajun and Creole Restaurant, Cantonese Restaurant, New American Restaurant","834 S Grand Ave (between 8th and 9th), Los Angeles, CA 90017",34.044774,-118.258497
CVS Pharmacy,Drugstore,"800 S Grand Ave, Los Angeles, CA 90017",34.045438,-118.257873
Starbucks,Coffee Shop,"1251 S Grand Ave (Pico), Los Angeles, CA 90015",34.039127,-118.264406
