business_name,categories,address,rating,latitude,longitude,review_count
Wurstküche,"Hot Dogs, German, Gastropubs","800 E 3rd St, Los Angeles, CA 90013",4.0,34.0456047058105,-118.236061096191,9008
Camphor,"French, Brasseries","923 East 3rd St, Los Angeles, CA 90013",4.5,34.04611,-118.23427,231
Eat Drink Americano,"American (New), Breakfast & Brunch, Cocktail Bars","923 E 3rd St, Los Angeles, CA 90013",4.0,34.046115199002,-118.234199889584,872
Kinjiro,Izakaya,"424 E 2nd St, Honda Plaza, Los Angeles, CA 90012",4.5,34.0466898946907,-118.238583702377,457
LA Cha Cha Chá,"Mexican, Cocktail Bars","812 E 3rd St, Los Angeles, CA 90013",4.0,34.04558,-118.2357,694
Men Oh Tokushima Ramen,"Ramen, Noodles","456 E 2nd St, Los Angeles, CA 90012",4.0,34.0469096407686,-118.238416233819,1372
De La Nonna,"Pizza, Wine Bars","710 E 4th Pl, Los Angeles, CA 90013",4.0,34.04502,-118.23749,429
Prince Street Pizza,Pizza,"827 E 3rd St, Los Angeles, CA 90013",4.5,34.04603290456726,-118.2355267,721
Death & Co - Los Angeles,"Cocktail Bars, Lounges, Restaurants","818 E 3rd St, Los Angeles, CA 90013",4.0,34.04571,-118.23563,315
Loqui,Tacos,"803 Traction Ave, Ste 150, Los Angeles, CA 90013",4.5,34.0453919,-118.2357589,220
Taberu,"Ramen, Izakaya","806 E 3rd St, Unit 140, Los Angeles, CA 90013",4.0,34.04543955200967,-118.23592919906234,175
Smoke City Char Bar,"Barbeque, Bars","899 Traction Ave, Los Angeles, CA 90013",4.5,34.04447,-118.23371,170
PASTA e PASTA by Allegro,"Italian, Japanese","432 E 2nd St, Los Angeles, CA 90012",4.5,34.046459,-118.238403,1282
Hearts & Flame,Italian,"225-227 S Garey St, Los Angeles, CA 90012",4.0,34.04644447304319,-118.2353367,196
Kombu Sushi,"Sushi Bars, Japanese, Tapas/Small Plates","300 S Santa Fe Ave, Ste Q, Los Angeles, CA 90013",4.5,34.04385,-118.23245,239
Yunomi Handroll,"Sushi Bars, Japanese, Seafood","806 E 3rd St, Ste 100, Los Angeles, CA 90013",4.5,34.045589,-118.235874,478
Tenno Sushi,"Japanese, Asian Fusion, Sushi Bars","207 S Central Ave, Los Angeles, CA 90012",4.0,34.0475658195504,-118.239508867264,2183
Shojin Downtown,"Japanese, Vegan, Gluten-Free","333 S Alameda St, Ste 310, Los Angeles, CA 90013",4.0,34.0444135100443,-118.23828298221306,1997
Propaganda ,"Wine Bars, Italian, Pizza","950 E 3rd St, Los Angeles, CA 90013",5.0,34.04580780000001,-118.23407108220891,113
Los Angeles River,Landmarks & Historical Buildings,"Los Angeles, CA 90189",3.5,34.048225402832,-118.229965209961,23
1st Street Bridge,Landmarks & Historical Buildings,"Los Angeles, CA 90012",5.0,34.0479690884117,-118.230068343202,7
Pecan Park,Parks,"142 S Gless St, Los Angeles, CA 90033",3.0,34.046143,-118.222641,6
JOEY DTLA,"Sushi Bars, Steakhouses, Wine Bars","700 W 7th St, Ste S430, Los Angeles, CA 90017",4.5,34.04802842513478,-118.2580505451759,2728
Water Grill - Los Angeles,"Seafood, Bars","544 S Grand Ave, Los Angeles, CA 90071",4.0,34.0490371292754,-118.25470721396856,2697
Bottega Louie,"Italian, Desserts, Breakfast & Brunch","700 S Grand Ave, Los Angeles, CA 90017",4.0,34.047056,-118.256544,18524
Little Sister,Vietnamese,"523 W 7th St, Los Angeles, CA 90017",4.0,34.0471743,-118.2561652,1882
Karl Strauss - Downtown LA,"Breweries, Pubs, American (New)","600 Wilshire Blvd, Ste 100, Los Angeles, CA 90017",4.5,34.04797889349581,-118.25628,741
71 Above,"American (Traditional), Cocktail Bars","633 W 5th St, Fl 71, Los Angeles, CA 90071",4.0,34.0511203,-118.2543221,2542
Takami Sushi & Robata,"Sushi Bars, Japanese, Seafood","811 Wilshire Blvd, Ste 2100, Los Angeles, CA 90017",4.0,34.0498199,-118.25819,2457
DRAGO Centro,Italian,"525 S Flower St, Ste 120, Los Angeles, CA 90071",4.0,34.0514,-118.257504,1671
Perch,"Lounges, French, Breakfast & Brunch","448 S Hill St, Los Angeles, CA 90013",4.0,34.04897,-118.2514,10096
Le Grand,"American (New), Breakfast & Brunch, Cocktail Bars","707 S Grand Ave, Los Angeles, CA 90017",4.0,34.04712,-118.25708,1243
Otium,American (New),"222 S Hope St, Los Angeles, CA 90012",4.0,34.054358,-118.251339,2435
District,"Cocktail Bars, American (Traditional), Venues & Event Spaces","700 West 7th St, Los Angeles, CA 90017",4.0,34.04803159296477,-118.25838604333818,631
SUGARFISH | Downtown LA,"Japanese, Sushi Bars","600 W 7th St, Ste 150, Los Angeles, CA 90017",4.0,34.0473871154639,-118.257194872353,2745
LA Prime,Steakhouses,"404 S Figueroa St, The Westin Bonaventure Hotel and Suites, Los Angeles, CA 90071",4.0,34.0522793152641,-118.255719402447,1070
Pez Cantina,"Seafood, Mexican, Bars","401 S Grand Ave, Fl 1, Los Angeles, CA 90071",4.0,34.05148699712437,-118.25329584739484,1225
H&H Brazilian Steakhouse Downtown LA,"Brazilian, Venues & Event Spaces, Halal","518 W 7th St, Los Angeles, CA 90014",4.5,34.04665,-118.25616,992
HATCH,"Japanese, Bars, Tapas/Small Plates","700 W 7th St, Ste G600, Los Angeles, CA 90017",4.0,34.047821,-118.258738,882
Library Bar,"American (New), Cocktail Bars","630 W 6th St, Ste 116-A, Los Angeles, CA 90017",4.0,34.04914,-118.25646,1854
JINYA Ramen Bar - Los Angeles,Ramen,"700 Wilshire Blvd, Ste B, Los Angeles, CA 90017",4.0,34.04868916422349,-118.25741887140612,610
Maccheroni Republic,"Italian, Wine Bars","332 S Broadway, Los Angeles, CA 90013",4.5,34.0500282776566,-118.24852800000085,3928
Niku X,"Japanese, Steakhouses, Bars","900 Wilshire Blvd, Ste 212, Los Angeles, CA 90017",4.5,34.0504,-118.26024,295
Guisados DTLA,Mexican,"541 S Spring St, Ste 101, Los Angeles, CA 90013",4.5,34.0465305975394,-118.250679851854,2097
Cicada Restaurant and Lounge,"Italian, Venues & Event Spaces, Music Venues","617 S Olive St, Ste 100, Los Angeles, CA 90014",4.0,34.047835,-118.254873,563
Fixins Soul Kitchen - Los Angeles,"Soul Food, Comfort Food, American (Traditional)","800 W Olympic Blvd, Ste A150, Los Angeles, CA 90015",4.5,34.04484,-118.26453,1684
Mamá Por Dios,"Seafood, Sushi Bars, Steakhouses","800 W 6th St, Los Angeles, CA 90017",3.5,34.05003644830255,-118.25789290000978,275
Pitchoun!,"Cafes, Bakeries, Breakfast & Brunch","545 S Olive St, Los Angeles, CA 90013",4.0,34.0485543132128,-118.254053902141,1224
Nick + Stef's Steakhouse,"Steakhouses, Venues & Event Spaces","330 S Hope St, Los Angeles, CA 90071",4.0,34.052947725926536,-118.252497,865
Mrs Fish,"Cocktail Bars, Sushi Bars, Japanese","448 South Hill St, Los Angeles, CA 90013",4.0,34.048841,-118.251357,1587
KazuNori | DTLA,"Sushi Bars, Japanese","421 S Main St, Los Angeles, CA 90013",4.5,34.0476390576719,-118.247747561303,3405
La Boucherie,"Steakhouses, Bars, American (New)","900 Wilshire Blvd, Fl 71, Los Angeles, CA 90017",4.0,34.0497318674171,-118.260605968262,514
The Capital Grille,"Steakhouses, Seafood, Wine Bars","700 W 9th St, Unit B, Los Angeles, CA 90015",4.5,34.0461174,-118.26265038,187
Sol Agave - LA LIVE,New Mexican Cuisine,"800 W Olympic Blvd, Ste A130, Los Angeles, CA 90015",4.5,34.04501146361135,-118.2649805036731,591
Denae’s Diner,"Diners, Breakfast & Brunch, Comfort Food","550 Flower St, Los Angeles, CA 90071",4.5,34.050194,-118.256985,24
Checkers Downtown,"Bars, American (Traditional), Salad","535 S Grand Ave, Los Angeles, CA 90071",3.5,34.049392,-118.2548728,131
Noe Restaurant and Bar,"Bars, French, Music Venues","251 S Olive St, Los Angeles, CA 90012",4.0,34.0526399,-118.25038,569
Anna's Fish Market DTLA,"Seafood, Fish & Chips, Poke","812 W 7th St, Los Angeles, CA 90017",4.0,34.0487526,-118.2591268,870
Fogo de Chão Brazilian Steakhouse,"Steakhouses, Brazilian","800 S Figueroa, Los Angeles, CA 90017",4.0,34.04761864674499,-118.2610875803566,1986
Seven Grand,"Lounges, Whiskey Bars","515 W 7th St, Fl 2, Los Angeles, CA 90014",4.0,34.047132,-118.2558135,2251
Downtown LA Pho,Vietnamese,"505 Flower St, Ste B300 A, Los Angeles, CA 90071",4.5,34.05147,-118.25649,56
Te Isshoku,Sushi Bars,"633 W 5th St, Ste 225, Los Angeles, CA 90071",5.0,34.05116356965227,-118.25486640223656,43
Joyce,"Southern, American (New), Seafood","770 S Grand Ave, Ste A, Los Angeles, CA 90017",4.5,34.04645515952082,-118.2571682,66
Pine & Crane DTLA,Taiwanese,"1120 S Grand Ave, Ste 101, Los Angeles, CA 90015",4.5,34.04088199432459,-118.26227691396424,466
Wokcano,"Chinese, Sushi Bars, Lounges","800 W 7th St, Los Angeles, CA 90017",3.5,34.048593,-118.25917,1655
Mezcalero,"Cocktail Bars, Mexican","510 S Broadway, Los Angeles, CA 90013",4.0,34.04751,-118.25072,696
Tender Greens,"Salad, American (New), Seafood","505 W 6th St, PacMutual Building, Los Angeles, CA 90014",3.5,34.0484162,-118.2543612,503
BAR Ama,"Tex-Mex, Cocktail Bars, New Mexican Cuisine","118 W 4th St, Los Angeles, CA 90013",4.0,34.0483374,-118.2477806,1311
The Exchange Restaurant,"Middle Eastern, Cocktail Bars","416 West 8th St, Los Angeles, CA 90014",4.0,34.04471,-118.25646,426
Strada Eateria & Bar,"Tapas/Small Plates, Bars, American (New)","825 W 9th St, Los Angeles, CA 90015",4.5,34.04681,-118.26348,674
The Wolves,"Cocktail Bars, American (New)","519 S Spring St, Los Angeles, CA 90013",4.0,34.0470476,-118.2501702,312
Marugame Udon-Los Angeles,"Japanese, Noodles, Asian Fusion","700 S Flower St, Ste 2600, Los Angeles, CA 90017",4.0,34.0483966730337,-118.25858827976226,287
The Broad,Art Museums,"221 S Grand Ave, Los Angeles, CA 90012",4.5,34.054493,-118.250573,2702
The Bradbury Building,Landmarks & Historical Buildings,"304 S Broadway, Los Angeles, CA 90013",4.5,34.05063286339589,-118.24785998585068,290
GRAMMY Museum,"Museums, Venues & Event Spaces","800 W Olympic Blvd, Ste A245, Los Angeles, CA 90015",4.0,34.044666,-118.264616,486
Pershing Square,Parks,"532 S Olive St, Los Angeles, CA 90189",3.5,34.048506,-118.252841,191
Gloria Molina Grand Park,Parks,"200 N Grand Ave, Los Angeles, CA 90012",4.0,34.05579248614315,-118.24571380066514,380
The Museum of Contemporary Art,"Art Museums, Art Tours, Art Galleries","250 S Grand Ave, Los Angeles, CA 90012",4.0,34.0528717041016,-118.250839233398,457
FIDM Museum & Galleries,"Museums, Art Galleries","919 S Grand Ave, Los Angeles, CA 90015",4.5,34.04384887997548,-118.26006778451612,66
The Los Angeles Theatre Center,"Performing Arts, Venues & Event Spaces, Museums","514 S Spring St, Los Angeles, CA 90013",4.5,34.0468445839075,-118.249905874869,26
Blue Ribbon Garden At Walt Disney Concert Hall,Parks,"111 S Grand Ave, Los Angeles, CA 90012",4.5,34.055649,-118.250215,26
Bunker Hill Steps,Landmarks & Historical Buildings,"633 W 5th St, Los Angeles, CA 90071",4.0,34.05103,-118.25453,6
The Moca Store,Museums,"250 S Grand Ave, Los Angeles, CA 90012",4.0,34.05309194053753,-118.25079150707786,38
Los Angeles Fine Arts Building,Landmarks & Historical Buildings,"811 West 7th St, Los Angeles, CA 90017",5.0,34.0489812,-118.2589574,8
The Caledison,Landmarks & Historical Buildings,"601 W 5th St, Los Angeles, CA 90071",5.0,34.050724029541,-118.253936767578,1
Grand Hope Park,Parks,"W 9th Street And Hope, Los Angeles, CA 90017",3.5,34.0451159063193,-118.260358391036,90
The Dutch Chocolate Shop,"Landmarks & Historical Buildings, Venues & Event Spaces","217 W 6th St, Los Angeles, CA 90014",5.0,34.04652,-118.25137,3
South Park Commons,Parks,"1114 S Grand Ave, Los Angeles, CA 90015",4.5,34.0410208587576,-118.262230195105,4
Indian Alley,"Landmarks & Historical Buildings, Public Art","421 Werdin Pl, Los Angeles, CA 90013",4.0,34.0471438318491,-118.247396573424,4
The Park DTLA,Parks,"201 S Figueroa St, Los Angeles, CA 90012",5.0,34.05652,-118.2533292,2
Kenneth Hahn Hall of Administration,Landmarks & Historical Buildings,"500 W Temple St, Los Angeles, CA 90012",3.5,34.05656,-118.24632,9
Spring Street Park,Parks,"426 S Spring St, Los Angeles, CA 90013",2.5,34.048093883883,-118.248760259794,31
Historic Merced Theatre Building,Landmarks & Historical Buildings,"420 S Main St, Los Angeles, CA 90013",5.0,34.047613,-118.24789,1
Biddy Mason Park,Parks,"324 Broadway And Spring St At 3rd St, Los Angeles, CA 90040",4.0,34.0506810508744,-118.24748200481,7
3rd Street Tunnel,Landmarks & Historical Buildings,"3RD St, Los Angeles, CA 90810",4.0,34.054656639525,-118.253917254627,4
San Julian Park,Parks,"526 San Julian St, Los Angeles, CA 90013",3.0,34.0444664108276,-118.24538565219,11
The Petroleum Building,Landmarks & Historical Buildings,"714 W Olympic Blvd, Los Angeles, CA 90015",5.0,34.044421,-118.263285,2
Nike SB 20th Year Exhibition,Museums,"905 S Hill St, Los Angeles, CA 90015",5.0,34.04289912704619,-118.2575456,1
Public Utilities Commission,Landmarks & Historical Buildings,"320 W 4th St, Ste 500, Los Angeles, CA 90013",1.0,34.049904561301894,-118.24992947281154,7
Guatemalan House of Culture,Museums,"1138 Wilshire Blvd, Ste 300, Los Angeles, CA 90017",2.5,34.0526686,-118.2644329,3
Agua Viva,"Latin American, Asian Fusion","100 South Grand Ave, Los Angeles, CA 90012",4.0,34.05536,-118.24879,199
asterid,American (New),"141 S Grand Ave, Walt Disney Concert Hall, Los Angeles, CA 90012",4.0,34.0547987,-118.2497291,145
San Laurel,"Spanish, Breakfast & Brunch, Cocktail Bars","100 S Grand Ave, Los Angeles, CA 90012",4.0,34.05536,-118.24879,189
Au Lac,"Vegan, Vietnamese, Juice Bars & Smoothies","710 W 1st St, Los Angeles, CA 90012",4.5,34.05621949169027,-118.25085847283314,1156
Marugame Monzo,"Japanese, Noodles, Asian Fusion","329 E 1st St, Los Angeles, CA 90012",4.5,34.04994760027338,-118.24004464723886,4599
Redbird,"Cocktail Bars, American (New)","114 E 2nd St, Los Angeles, CA 90012",4.0,34.05049,-118.24406,1841
Kendall's Brasserie,French,"135 N Grand Ave, Los Angeles, CA 90012",3.0,34.05735,-118.24816,127
Ahmanson Theatre,"Performing Arts, Music Venues","135 N Grand Ave, Los Angeles, CA 90012",4.5,34.05696802341803,-118.2482082,564
Daikokuya Little Tokyo,"Ramen, Noodles","327 E 1st St, Los Angeles, CA 90012",4.0,34.04997674306073,-118.24009370981828,9478
Dorothy Chandler Pavilion,"Performing Arts, Music Venues, Opera & Ballet","135 N Grand Ave, Los Angeles, CA 90012",4.5,34.0565838639612,-118.248894,222
Crepes De Paris,"Creperies, French, Sandwiches","123 S Figueroa St, Ste 122, Los Angeles, CA 90012",4.5,34.0571800333348,-118.252924291915,221
Sushi Enya - Los Angeles,"Japanese, Sushi Bars","343 E 1st St, Los Angeles, CA 90012",4.5,34.049757,-118.239601,1660
Abernethy's,"American (New), Cocktail Bars, Soul Food","220 N Hope St, Los Angeles, CA 90012",3.5,34.0577647,-118.2483375,117
Badmaash - Downtown LA,"Indian, American (New)","108 W 2nd St, Ste 104, Los Angeles, CA 90012",4.0,34.0509979640131,-118.244926282244,1995
LA Phil at Walt Disney Concert Hall,"Performing Arts, Music Venues","111 S Grand Ave, Los Angeles, CA 90012",4.5,34.0551616634041,-118.249652981758,663
Yang Chow,"Chinese, Seafood, Noodles","819 N Broadway, Los Angeles, CA 90012",4.0,34.06301,-118.2384,3227
Rice & Nori,Japanese,"123 Astronaut E S Onizuka St, Ste 103, Los Angeles, CA 90012",4.5,34.050052,-118.242365551451,701
Ootoro Little Tokyo,"Japanese, Sushi Bars, Wine Bars","232 E 2nd St, Ste E, Los Angeles, CA 90012",4.5,34.049327,-118.242476,228
Eggslut,"Breakfast & Brunch, Sandwiches","317 S Broadway, Grand Central Market, Los Angeles, CA 90013",4.0,34.05074087639161,-118.2485842438198,6419
Azay,"Japanese, French","226 E 1st St, Los Angeles, CA 90012",4.5,34.0508304712908,-118.241824954748,279
The Park's Finest,"Barbeque, Filipino, Asian Fusion","1267 W Temple St, Los Angeles, CA 90026",4.0,34.0665313022035,-118.254266053011,2349
Chinchikurin - Little Tokyo,Japanese,"350 E 1st St, Los Angeles, CA 90012",4.0,34.0493955,-118.2397527,965
Far Bar,"Asian Fusion, Cocktail Bars, Beer Bar","347 E 1st St, Los Angeles, CA 90012",3.5,34.04973,-118.23944,2055
Hill Street Bar & Restaurant,"American (New), Burgers, Cocktail Bars","200 S Hill St, Los Angeles, CA 90012",4.5,34.05273,-118.24769,244
The Music Center,"Performing Arts, Music Venues, Opera & Ballet","135 N Grand Ave, Los Angeles, CA 90012",4.5,34.05695501398662,-118.24819157400444,69
Grand Café,"Breakfast & Brunch, American (New)","251 S Olive St, Los Angeles, CA 90012",4.0,34.0528020301326,-118.250135182586,445
RAKKAN Ramen - DTLA,"Ramen, Vegan, Noodles","359 E 1st St, Los Angeles, CA 90012",4.0,34.0494361,-118.239334,990
Lasita,"Chicken Shop, Filipino, Wine Bars","727 N Broadway, Ste 120, Los Angeles, CA 90012",4.5,34.06147698019599,-118.2394830433421,165
Vespaio,"Italian, Pizza, Wine Bars","225 S Grand Ave, Los Angeles, CA 90012",3.5,34.0538862751801,-118.250720304946,821
Kapoor's Akbar,Indian,"701 W Cesar E Chavez Ave, Ste 107, Los Angeles, CA 90012",4.0,34.06108821668126,-118.24405034467976,311
Suehiro Mini,"Ramen, Japanese Curry","642 N Broadway, Ste 5, Chinatown Center Mall, Los Angeles, CA 90012",4.5,34.05976215639693,-118.2390848,141
Chomp Chomp Food Truck,"Sandwiches, Food Trucks","909 W Temple St, Los Angeles, CA 90012",5.0,34.060984,-118.249338,88
Cherry Pick Cafe,"Sandwiches, Coffee & Tea, American (New)","208 S Hill St, Los Angeles, CA 90012",4.5,34.0528009543339,-118.247852002513,424
Hachioji Craft Ramen,Ramen,"313 E 1st St, Los Angeles, CA 90012",4.5,34.0502784658486,-118.240436783005,305
café Persona,"Coffee & Tea, Sandwiches","714 W 1st St, Los Angeles, CA 90012",4.5,34.056541,-118.250799,96
Oomasa Restaurant,"Japanese, Sushi Bars, Noodles","100 Japanese Village Plaza Mall, Los Angeles, CA 90012",4.0,34.0492265,-118.2396326,1449
Zen Mei Bistro,Chinese,"800 Yale St, Los Angeles, CA 90012",4.5,34.06335,-118.24046,203
Izakaya Gazen,"Sushi Bars, Izakaya, Wine Bars","362 E 1st St, Los Angeles, CA 90012",4.0,34.049054,-118.239414,472
Japanese American National Museum,Museums,"100 N Central Ave, Los Angeles, CA 90012",4.5,34.049453,-118.23879,368
The Geffen Contemporary at MOCA,Art Museums,"152 N Central Ave, Los Angeles, CA 90012",4.5,34.05022,-118.23887,279
Vista Hermosa Natural Park,"Parks, Venues & Event Spaces","100 N Toluca St, Los Angeles, CA 90026",4.5,34.061581,-118.2584081,376
Los Angeles City Hall,Landmarks & Historical Buildings,"200 N Spring St, Ste 101, Los Angeles, CA 90012",4.0,34.0528998260656,-118.243357851046,138
Metro Art Rail Tours,"Hiking, Art Museums","Los Angeles, CA 90189",4.5,34.0534896850586,-118.245323181152,26
